transaction_id,customer_id,product_id,quantity,timestamp
2382044,1089,205,8,2025-06-12 08:50:02.235816
7878531,1097,224,9,2025-06-09 13:40:02.235816
5795041,1068,201,5,2025-05-30 02:15:02.235816
8019591,1010,233,3,2025-04-08 11:26:02.235816
7148682,1056,208,5,2025-04-24 13:55:02.235816
5136116,1034,213,9,2025-05-12 07:41:02.235816
5697460,1002,242,5,2025-05-19 03:17:02.235816
8833944,1073,216,1,2025-06-11 21:36:02.235816
8959738,1072,204,4,2025-04-26 10:00:02.235816
8992372,1042,206,2,2025-05-14 08:18:02.235816
1875392,1055,232,8,2025-05-09 23:27:02.235816
3241640,1003,224,8,2025-04-21 20:58:02.235816
5587135,1086,200,6,2025-05-04 01:29:02.235816
1721490,1016,240,10,2025-05-12 17:02:02.235816
7522131,1038,249,5,2025-05-11 03:27:02.235816
1984923,1021,214,6,2025-04-16 05:41:02.235816
4741694,1060,247,10,2025-06-09 18:41:02.235816
7252802,1078,225,8,2025-05-26 00:49:02.235816
3106079,1046,207,10,2025-05-15 19:10:02.235816
4144389,1064,221,7,2025-04-25 13:17:02.235816
7006911,1009,227,3,2025-04-15 13:15:02.235816
2481587,1038,236,4,2025-05-01 15:10:02.235816
6158246,1038,242,10,2025-05-10 02:15:02.235816
5762149,1043,211,4,2025-04-20 18:57:02.235816
3175849,1083,226,8,2025-05-02 09:15:02.235816
3347058,1035,242,4,2025-05-08 21:26:02.235816
1051036,1041,236,10,2025-05-13 09:43:02.235816
787676,1073,201,10,2025-06-03 14:05:02.235816
5513516,1092,212,1,2025-05-02 11:44:02.235816
3642547,1057,232,4,2025-05-30 05:36:02.235816
3340158,1027,230,9,2025-05-26 05:01:02.235816
6544264,1085,232,10,2025-05-09 10:59:02.235816
5406002,1075,205,6,2025-04-21 22:09:02.235816
2911621,1034,247,1,2025-05-09 08:48:02.235816
6283356,1050,223,7,2025-05-28 11:57:02.235816
4415764,1054,225,6,2025-06-10 20:06:02.235816
4806592,1061,240,1,2025-05-19 01:17:02.235816
9640364,1034,200,6,2025-05-11 04:11:02.235816
6539697,1033,206,3,2025-04-24 05:39:02.235816
2378776,1025,236,9,2025-05-18 07:52:02.235816
1234773,1034,234,6,2025-06-07 04:59:02.235816
2275005,1024,238,5,2025-05-19 00:46:02.235816
8341647,1048,246,9,2025-06-10 16:54:02.235816
3690185,1010,214,4,2025-05-26 04:03:02.235816
6480130,1084,216,9,2025-05-22 00:51:02.235816
5094585,1064,231,4,2025-04-10 09:40:02.235816
7950273,1004,215,5,2025-06-02 18:43:02.235816
3034839,1008,214,5,2025-05-05 22:58:02.235816
3762893,1042,238,7,2025-05-05 14:38:02.235816
6523229,1094,211,6,2025-06-10 04:13:02.235816
3423944,1046,230,10,2025-05-08 05:43:02.235816
4678535,1056,221,1,2025-04-29 14:37:02.235816
3029213,1023,239,4,2025-05-03 19:28:02.235816
688187,1041,228,9,2025-04-19 06:21:02.235816
2026188,1097,210,8,2025-04-18 19:39:02.235816
3019347,1020,218,6,2025-04-18 13:23:02.235816
1247366,1033,246,6,2025-04-25 22:16:02.235816
7918990,1038,219,10,2025-05-01 15:27:02.235816
9654638,1010,248,9,2025-04-24 14:17:02.235816
2091775,1030,220,1,2025-04-23 02:20:02.235816
9094277,1074,220,1,2025-04-15 01:45:02.235816
9228176,1100,249,4,2025-04-22 14:27:02.235816
9560405,1014,221,4,2025-04-12 03:50:02.235816
9400992,1011,229,4,2025-05-31 17:05:02.235816
893653,1054,224,6,2025-04-13 04:11:02.235816
1736910,1073,222,8,2025-04-28 09:20:02.235816
9228106,1018,220,7,2025-05-30 23:14:02.235816
894188,1018,215,5,2025-04-10 04:06:02.235816
315241,1041,229,3,2025-05-18 21:53:02.235816
4761984,1094,242,6,2025-05-18 02:17:02.235816
6937983,1093,234,8,2025-04-30 04:46:02.235816
7300611,1012,243,2,2025-05-15 01:25:02.235816
4317117,1100,249,7,2025-04-28 20:34:02.235816
5360578,1047,206,1,2025-06-03 14:04:02.235816
6680105,1022,211,6,2025-06-13 06:59:02.235816
8171712,1075,220,4,2025-05-30 03:28:02.235816
4404059,1019,242,8,2025-05-31 10:53:02.235816
8311763,1008,241,3,2025-05-03 20:35:02.235816
8025676,1004,250,6,2025-06-07 19:29:02.235816
6978672,1092,229,6,2025-05-17 16:54:02.235816
2298004,1017,248,2,2025-05-07 22:28:02.235816
6235116,1071,217,1,2025-05-09 23:39:02.235816
1204080,1061,212,3,2025-06-07 02:14:02.235816
1192845,1021,223,5,2025-06-06 05:47:02.235816
3522183,1067,231,5,2025-04-22 04:38:02.235816
7523597,1025,238,9,2025-05-11 14:43:02.235816
9573846,1088,200,5,2025-05-08 07:12:02.235816
4539378,1034,221,8,2025-05-14 11:33:02.235816
6109993,1072,200,7,2025-04-12 09:53:02.235816
2006586,1042,218,9,2025-05-10 11:26:02.235816
5813877,1018,233,5,2025-06-16 04:12:02.235816
7643895,1054,207,9,2025-06-13 22:47:02.235816
377547,1059,225,3,2025-06-11 04:36:02.235816
8418701,1094,244,4,2025-05-03 10:43:02.235816
9041042,1059,235,1,2025-06-06 21:50:02.235816
2116993,1069,201,6,2025-05-20 05:01:02.235816
1503,1074,212,5,2025-06-10 05:10:02.235816
7820863,1054,207,1,2025-06-08 16:01:02.235816
3044666,1061,200,7,2025-05-01 15:37:02.235816
4921146,1090,225,3,2025-05-23 19:10:02.235816
3299451,1074,244,3,2025-06-01 09:46:02.235816
8926062,1088,219,5,2025-04-14 15:01:02.235816
2020276,1056,211,3,2025-05-06 21:35:02.235816
8974316,1066,201,1,2025-04-15 07:59:02.235816
3707692,1062,211,9,2025-06-08 23:32:02.235816
2168678,1088,217,7,2025-05-08 19:36:02.235816
6338771,1025,212,5,2025-06-04 17:56:02.235816
4918724,1074,239,10,2025-05-01 16:02:02.235816
3192200,1008,213,4,2025-04-14 21:20:02.235816
8332993,1093,214,5,2025-06-05 22:47:02.235816
2492704,1012,247,3,2025-05-14 18:53:02.235816
1806498,1052,214,1,2025-05-12 18:03:02.235816
5262865,1072,223,9,2025-06-09 01:14:02.235816
7896466,1086,236,1,2025-06-11 23:55:02.235816
8028256,1075,231,2,2025-05-04 07:46:02.235816
816260,1097,223,2,2025-04-19 13:53:02.235816
9706064,1084,249,3,2025-06-13 14:11:02.235816
2174358,1007,246,7,2025-04-27 16:08:02.235816
4949623,1045,223,6,2025-05-30 10:35:02.235816
8396920,1058,215,2,2025-04-25 11:48:02.235816
7866072,1056,243,3,2025-06-11 08:16:02.235816
3626760,1000,248,2,2025-06-08 21:48:02.235816
1085916,1055,249,3,2025-05-03 00:09:02.235816
6460267,1040,233,7,2025-06-06 04:53:02.235816
1656056,1074,236,1,2025-04-15 10:46:02.235816
9626782,1090,243,6,2025-05-15 21:35:02.235816
8554575,1016,247,5,2025-05-17 01:18:02.235816
8325506,1097,201,2,2025-05-09 19:09:02.235816
7942385,1008,235,7,2025-04-29 14:00:02.235816
3133653,1010,232,1,2025-04-16 20:44:02.235816
2251629,1018,225,4,2025-06-10 05:04:02.235816
6542455,1032,225,4,2025-04-22 08:46:02.235816
985073,1071,209,5,2025-04-11 12:53:02.235816
169170,1092,223,2,2025-06-02 19:41:02.235816
5701125,1013,221,2,2025-05-23 14:14:02.235816
3993569,1008,244,1,2025-06-04 13:38:02.235816
1791312,1062,224,1,2025-06-01 08:07:02.235816
7783467,1052,212,3,2025-05-11 12:36:02.235816
4632093,1019,233,3,2025-05-06 12:58:02.235816
4789089,1067,229,7,2025-06-13 08:50:02.235816
4142767,1030,244,4,2025-05-25 03:04:02.235816
9197156,1026,224,4,2025-06-15 09:22:02.235816
1267841,1000,230,7,2025-04-13 17:32:02.235816
5847004,1041,242,10,2025-05-14 11:46:02.235816
6506669,1008,248,3,2025-04-10 15:40:02.235816
9335828,1071,237,1,2025-06-13 04:44:02.235816
4291391,1039,232,6,2025-04-13 14:25:02.235816
8231402,1038,249,10,2025-04-28 08:18:02.235816
1361225,1007,240,4,2025-05-19 23:36:02.235816
2644094,1020,242,4,2025-06-03 18:41:02.235816
4584321,1061,234,3,2025-06-05 20:44:02.235816
666303,1062,228,4,2025-05-26 23:50:02.235816
8012276,1050,233,2,2025-06-15 21:38:02.235816
928497,1053,240,4,2025-06-12 10:23:02.235816
1078180,1027,207,8,2025-05-21 02:43:02.235816
7256768,1083,226,3,2025-06-11 18:49:02.235816
897316,1062,221,3,2025-05-26 12:48:02.235816
4541913,1052,207,9,2025-04-24 08:22:02.235816
1806887,1100,201,9,2025-04-22 09:10:02.235816
8487386,1040,242,5,2025-04-12 05:32:02.235816
4799026,1084,249,4,2025-04-24 13:11:02.235816
7608431,1100,230,5,2025-05-25 17:20:02.235816
2001839,1093,217,3,2025-06-12 22:02:02.235816
9519086,1097,235,5,2025-05-03 02:35:02.235816
