transaction_id,customer_id,product_id,quantity,timestamp
6483809,gAAAAABoTZ0ymwND-Slr4ykO0nOhZvWB0JMIxX_k6yV_TIyxQOSmcnZGDhxzIN6e0arHdvbnqypWcA_jMPBdsLGCkJ8zC5je2g==,209,9,2025-06-09 02:27:58.751138
9315509,gAAAAABoTZ0yykDAEXPocXGVm-JDmJmYriQWekCleRfWMJ0aqQaiTt0vTkLGIyaNybELkrAU04T7ybVRRmwZQAMEOTnSZeEvdA==,218,4,2025-06-13 02:31:58.751138
7692812,gAAAAABoTZ0yXz9C0tvaPc9x7HdcLg4ifw16qmn7lxci4WFnYL1OR325Vz-bA94rzkihehAMuk9fbIN2zaQ8ce0yL9MbWFBNPA==,249,3,2025-04-07 16:14:58.751138
5582373,gAAAAABoTZ0yauFqOoeFIZ7uW--XF9uyEgXWy36m1SeXJy67jNBUzKOcgFvnjW8a71QXVLL36_DKqq5aR0k2cYhduNlfLRpN-Q==,232,3,2025-04-28 15:19:58.751138
8609414,gAAAAABoTZ0yZ4YSeT9Xh50DBq3hNKnUL6quu635s_Gj33NP3b0lbJ34uZOon1VvTigbOU6FfJg0HSA0lfctjQaX5R5IzuAnkQ==,227,8,2025-06-09 15:03:58.751138
2359561,gAAAAABoTZ0yQCHhcgkt6ebHchd3KyyVz85i6wzmEbPRRj_QBe2NjqJtMugzCnAq0meKgaokwsXYMLVvVijpu8Wm8AGyt-S6FQ==,233,5,2025-05-16 13:34:58.751138
7627700,gAAAAABoTZ0yKk9K_0uDoUATyt_httsdJmDSaV4LruOQovOxjc2yCtr2cZevv-0ycpkl7UfZvW5yY6jHZ3V3P-vWFPpL6e12nA==,230,9,2025-05-05 17:49:58.751138
3335249,gAAAAABoTZ0y0fVQn27-liU_nwmpINlbeoVitD2Oezu8WQqDFJagHDNV799visX_mpjTbt1lxJtWncGZ-2CPEAFKK8JDFWwB6w==,231,3,2025-05-08 06:13:58.751138
1663716,gAAAAABoTZ0yQFy90soq-3pqINPtuaNEUT6A9Zn0YM6qrgjclQ-vjbnlXiYjszK6a27WT09P2jTJWhHfz8U6hTsWZXIboBy6Eg==,235,10,2025-04-23 04:29:58.751138
8836078,gAAAAABoTZ0ypPJIYmSt7AgJZdUVIsxBtwKsAvS09MbX-gQgute22bGYW-X8irT-idxCJt4j8MBPNvvguCSUuuIrDKF3TdDSmA==,225,4,2025-05-22 19:57:58.751138
